Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2013IMNAHW1,Imnaha (Volitional),Imnaha Weir,2013,"223,626","11,956","8,367",26.3,95,IMNAHW,1
2013IMNAHR1,Imnaha (Direct),Imnaha River,2013,"166,979","8,940","6,272",26.2,96,IMNAHR,1
2014KNOXB1,McCall (Seg),SFSR-Knox,2014,"813,873","27,925","18,175",44.2,97,KNOXB,1
2014KNOXB91,McCall (Int),SFSR-Knox,2014,"234,012","25,947","18,129",12.5,98,KNOXB,91
2014RAPH1,Rapid River,Rapid R. Hat,2014,"2,498,849","51,974","36,423",68.2,99,RAPH,1
2014DWORNF1,Dworshak,NF-DHFH,2014,"2,040,460","51,672","36,233",55.9,100,DWORNF,1
2014POWP1,Clearwater Hat.,Powell (summers),2014,"492,244","25,470","17,830",27.2,101,POWP,1
2014REDP1,Clearwater Hat.,Red,2014,"1,190,867","17,082","11,959",99.2,102,REDP,1
2014SELWY11,Clearwater Hat.,Selway,2014,"410,025","17,085","11,959",33.9,103,SELWY1,1
2014CLEARC1,Clearwater Hat.,Clear Cr ,2014,"800,921","21,887","15,320",51.9,104,CLEARC,1
2014SAWT1,Sawtooth,Weir,2014,"1,559,698","18,976","13,283",117.0,105,SAWT,1
2014PAHP1,Pahsimeroi,Ponds,2014,"827,321","21,376","14,963",54.9,106,PAHP,1
2014KOOS1,Kooskia - Ad,Clear Cr,2014,"628,007","12,261","8,584",72.7,107,KOOS,1
2014YANKFK1,Sawtooth,Yankee Fork,2014,"192,577","2,398","1,679",114.3,108,YANKFK,1
2015KNOXB1,McCall (Seg),SFSR-Knox,2015,"867,469"," 25,937 ","18,125",47.4,109,KNOXB,1
2015KNOXB91,McCall (Int),SFSR-Knox,2015,"254,817"," 25,969 ","18,190",13.6,110,KNOXB,91
2015RAPH1,Rapid River,Rapid R. Hat,2015,"2,499,975"," 51,931 ","36,390",68.3,111,RAPH,1
2015DWORNF1,Dworshak,NF-DHFH,2015,"1,549,263","41,774","29,292",52.5,112,DWORNF,1
2015POWP1,Clearwater Hat.,Powell (summers),2015,"528,410","25,477","17,846",29.2,113,POWP,1
2015REDP1,Clearwater Hat.,Red,2015,"1,097,660","17,049","11,933",91.6,114,REDP,1
